STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1766;20210202;   10;   7.2;   1.9;    3;   7.0;   6;    0.000;   0;   7.9;   7.7;  993.82;    3.2;   99.25;    9.2;    0.3;    0.1;eor
       1766;20210203;   10;   9.4;   3.0;    3;  15.2;   6;    0.000;   0;   7.5;  10.4;  990.63;    8.2;   95.63;    9.6;    6.3;    5.8;eor
       1766;20210204;   10;  10.6;   4.0;    3;   0.0;   6;    0.150;   0;   6.2;   8.4; 1005.21;    6.2;   88.75;    7.9;    1.0;   -1.7;eor
       1766;20210205;   10;   4.6;   1.8;    3;   1.0;   6;    0.133;   0;   6.5;   7.7; 1006.35;    4.3;   91.96;    7.3;    0.1;   -1.7;eor
       1766;20210206;   10;  13.7;   4.1;    3;   9.1;   8;    0.000;   0;   8.0;   5.9; 1005.21;    0.8;   90.29;    3.8;   -2.4;   -2.2;eor
       1766;20210207;   10;  15.4;   5.3;    3;   5.9;   7;    0.000;  15;   8.0;   3.6;  996.92;   -5.0;   84.92;   -2.3;   -6.1;   -6.0;eor
       1766;20210208;   10;  11.5;   3.2;    3;   5.4;   7;    0.000;  22;   8.0;   3.0;  996.98;   -7.1;   83.29;   -5.8;   -9.8;  -13.3;eor
       1766;20210209;   10;   6.2;   1.5;    3;   0.0;   7;    7.083;  27;   3.7;   2.4; 1001.29;  -10.0;   84.00;   -3.9;  -14.8;  -23.0;eor
       1766;20210210;   10;   9.6;   2.3;    3;   0.0;   7;    0.050;  27;   6.6;   3.0; 1007.92;   -7.0;   82.38;   -2.6;  -13.5;  -19.0;eor
       1766;20210211;   10;   4.6;   1.0;    3;   0.0;   0;    8.400;  26;   2.3;   2.7; 1022.97;   -8.0;   82.04;   -1.5;  -13.9;  -22.8;eor
       1766;20210212;   10;   9.8;   2.0;    3;   0.0;   7;    6.733;  23;   2.1;   2.7; 1029.32;   -8.4;   82.88;   -2.8;  -15.2;  -23.7;eor
       1766;20210213;   10;   6.0;   1.5;    3;   0.0;   0;    9.017;  22;   0.3;   2.2; 1034.34;   -8.8;   72.79;   -0.6;  -17.3;  -25.7;eor
       1766;20210214;   10;   7.7;   2.7;    3;   0.0;   0;    7.450;  21;   5.2;   2.8; 1031.44;   -4.0;   62.92;    2.1;  -10.8;  -17.6;eor
       1766;20210215;   10;   8.7;   3.7;    3;   3.1;   8;    0.000;  19;   7.5;   5.0; 1018.66;    1.1;   72.08;    3.9;   -2.4;   -4.8;eor
       1766;20210216;   10;   7.2;   2.9;    3;   1.0;   6;    0.033;  15;   7.6;   8.0; 1009.09;    5.3;   89.96;    8.1;    3.2;    0.9;eor
       1766;20210217;   10;   8.7;   3.7;    3;   0.0;   6;    0.467;   8;   6.9;   9.1; 1008.87;    8.1;   84.67;   10.6;    5.8;    4.0;eor
       1766;20210218;   10;  17.0;   3.7;    3;   2.1;   6;    0.067;   0;   7.3;   8.6; 1005.12;    8.4;   78.88;   11.2;    5.8;    4.4;eor
       1766;20210219;   10;   9.3;   4.0;    3;   0.0;   0;    7.583;   0;   5.5;   8.0; 1009.40;    7.3;   78.92;   10.6;    3.5;    1.4;eor
       1766;20210220;   10;   7.5;   2.8;    3;   0.0;   0;    6.400;   0;   6.5;   9.2; 1007.87;   10.3;   73.71;   16.1;    5.4;    3.4;eor
       1766;20210221;   10;   5.7;   2.1;    3;   0.0;   0;    9.250;   0;   2.1;   8.6; 1008.38;   10.7;   68.58;   18.0;    4.9;    0.1;eor
       1766;20210222;   10;   6.2;   2.5;    3;   0.0;   0;    5.233;   0;   2.8;   7.8; 1013.20;   11.8;   57.71;   18.1;    6.6;    3.3;eor
       1766;20210223;   10;  11.8;   3.5;    3;   0.0;   0;    5.267;   0;   5.8;  10.1; 1022.57;   13.7;   64.29;   18.7;    5.3;    3.7;eor
       1766;20210224;   10;  11.3;   3.3;    3;   0.0;   0;    9.300;   0;   3.2;  10.4; 1022.63;   13.7;   67.46;   19.1;   10.0;    5.5;eor
       1766;20210225;   10;   8.2;   2.4;    3;   5.7;   6;    7.900;   0;   3.9;  10.1; 1020.11;   10.8;   79.33;   17.9;    3.9;    1.1;eor
       1766;20210226;   10;   8.7;   2.8;    3;   0.0;   0;    4.450;   0;   5.2;   7.9; 1026.72;    7.4;   77.71;   11.4;    1.6;   -1.2;eor
       1766;20210227;   10;   5.3;   1.9;    3;   0.0;   0;    0.050;   0;   7.2;   7.6; 1033.29;    5.1;   87.13;    7.8;    2.8;    0.2;eor
       1766;20210228;   10;   7.9;   1.7;    3;   0.0;   0;    5.800;   0;   3.0;   7.4; 1031.35;    4.3;   89.96;   11.1;   -0.9;   -1.9;eor
       1766;20210301;   10;   6.2;   2.0;    3;   0.0;   0;    4.700;   0;   3.1;   7.2; 1028.24;    4.2;   87.29;    9.2;   -0.2;   -3.7;eor
       1766;20210302;   10;   5.8;   1.2;    3;   0.0;   0;   10.150;   0;   0.0;   6.9; 1024.97;    6.2;   76.08;   16.3;   -2.3;   -4.4;eor
       1766;20210303;   10;   7.0;   2.2;    3;   0.0;   6;    3.933;   0;   3.7;   7.7; 1020.58;    7.0;   77.21;   14.1;    1.4;   -2.7;eor
       1766;20210304;   10;   9.3;   2.7;    3;   0.0;   6;    0.000;   0;   7.8;   6.9; 1014.58;    3.3;   90.08;    4.6;    2.2;    2.6;eor
       1766;20210305;   10;   8.2;   3.1;    3;   0.0;   0;   10.383;   0;   1.4;   4.3; 1022.15;    1.3;   65.58;    5.8;   -3.6;   -7.5;eor
       1766;20210306;   10;   4.6;   1.1;    3;   0.0;   0;    4.383;   0;   3.8;   4.9; 1026.52;    1.2;   75.42;    7.6;   -5.6;   -9.0;eor
       1766;20210307;   10;   7.2;   2.1;    3;   0.3;   8;    0.350;   0;   5.7;   5.3; 1018.93;    1.5;   78.88;    5.3;   -3.7;   -7.3;eor
       1766;20210308;   10;   4.5;   1.7;    3;   5.4;   6;    0.083;   0;   7.3;   6.9; 1015.84;    4.1;   84.38;    6.4;    2.2;    2.0;eor
       1766;20210309;   10;   8.7;   2.6;    3;   5.5;   6;    0.000;   0;   7.3;   7.8; 1010.98;    3.9;   95.96;    6.7;    0.6;   -1.3;eor
       1766;20210310;   10;  14.6;   3.3;    3;   2.8;   6;    0.000;   0;   7.7;   7.6; 1008.55;    5.7;   84.79;    9.3;    1.9;    1.7;eor
       1766;20210311;   10;  27.1;   8.6;    3;   2.6;   6;    1.717;   0;   6.9;   8.8;  991.02;    8.7;   78.29;   13.1;    6.2;    5.4;eor
       1766;20210312;   10;  20.2;   7.7;    3;   4.3;   6;    4.117;   0;   6.3;   7.5;  996.69;    6.5;   78.04;    9.4;    4.8;    3.7;eor
       1766;20210313;   10;  23.1;   9.0;    3;   4.9;   8;    3.133;   0;   6.3;   7.6;  987.95;    6.5;   78.00;    8.8;    4.5;    3.0;eor
